task_id,employee_id,date,task_description,estimated_duration,actual_duration,priority,deadline_days,mood,workload,project,dept,breaks,interruptions,remote_work,manager_id,team_size,completed,status,notes,tools_used
101,EMP183,09/20/2025,Write report,"2,1","2,6",Low,3,Calm,4,CRM Update,Analytics,2,5,100%,MGR322,11,No,Done,Needed extra research,"Word, Excel"
102,EMP75,09/24/2025,Write proposal,"1,6","2,1",Low,1,Focused,4,Client Dashboard,Sales,1,1,75%,MGR371,14,Yes,Done,Follow up required,"Zoom, Slack"
103,EMP91,09/21/2025,Code feature,"2,8","2,9",Medium,1,Stressed,7,Q4 Review Report,HR,1,4,50%,MGR311,13,No,Ongoing,Code reviewed twice,"JIRA, PyCharm"
104,EMP40,10/04/2025,Team meeting,"1,5","1,7",Low,5,Happy,10,CRM Update,Analytics,0,5,25%,MGR374,3,Yes,Done,Follow up required,"Zoom, Slack"
105,EMP136,10/07/2025,Team meeting,"2,4","2,9",High,3,Happy,4,Client Dashboard,HR,2,5,0%,MGR343,10,Yes,Done,Customer issue,"JIRA, PyCharm"
106,EMP89,10/16/2025,Design dashboard,"2,8",3,Low,5,Calm,6,Q4 Review Report,IT,0,2,75%,MGR368,3,Yes,Ongoing,UI feedback pending,"VSCode, GitHub"
107,EMP187,10/02/2025,Bug fixing,"1,1","1,2",Low,4,Calm,5,CRM Update,IT,2,4,100%,MGR367,13,No,Ongoing,Follow up required,"Zoom, Slack"
108,EMP76,09/21/2025,Write proposal,"3,2",3,Medium,1,Stressed,2,CRM Update,IT,2,3,100%,MGR316,8,No,Ongoing,Customer issue,Google Docs
109,EMP84,10/04/2025,Write report,"1,6","1,9",Low,6,Stressed,9,All-Hands Sync,HR,0,2,75%,MGR340,9,Yes,Ongoing,Ready for submission,Google Docs
110,EMP65,10/03/2025,Write report,"1,6","1,9",Low,3,Focused,10,CRM Update,IT,1,1,100%,MGR300,11,No,Delayed,Needed extra research,"Word, Excel"
111,EMP112,10/15/2025,Team meeting,"2,8","3,3",High,1,Calm,10,Q4 Review Report,Analytics,2,3,0%,MGR332,4,No,Ongoing,Good team engagement,"Zoom, Slack"
112,EMP155,10/14/2025,Write proposal,"2,3","2,3",Medium,2,Focused,4,Client Dashboard,HR,1,5,50%,MGR412,10,No,Done,Blocked by dependencies,"VSCode, GitHub"
113,EMP36,09/27/2025,Write report,"2,6","2,5",Low,5,Calm,10,CRM Update,Analytics,0,5,0%,MGR358,3,Yes,Delayed,Code reviewed twice,Google Docs
114,EMP80,09/25/2025,Design dashboard,"1,4","1,7",Medium,2,Focused,3,Client Dashboard,Sales,2,3,25%,MGR421,14,No,Done,Code reviewed twice,"Word, Excel"
115,EMP188,09/30/2025,Team meeting,"3,9","3,8",Medium,4,Tired,1,Client Dashboard,Analytics,0,3,50%,MGR327,5,Yes,Done,Revision requested,"JIRA, PyCharm"
116,EMP55,09/30/2025,Code feature,"2,4","2,3",Medium,4,Calm,2,App QA Cycle,Sales,0,0,100%,MGR303,3,Yes,Done,Follow up required,"JIRA, PyCharm"
117,EMP143,09/23/2025,Bug fixing,"2,9","3,2",High,2,Tired,1,App QA Cycle,HR,1,2,75%,MGR424,4,Yes,Delayed,Blocked by dependencies,"Word, Excel"
118,EMP168,10/10/2025,Write proposal,"2,5","2,5",High,6,Happy,1,Q4 Review Report,Sales,1,4,100%,MGR340,2,Yes,Done,Code reviewed twice,Google Docs
119,EMP37,10/08/2025,Code feature,"1,1","1,3",Medium,1,Focused,4,New Project RFP,Sales,0,4,0%,MGR407,12,No,Delayed,Blocked by dependencies,"Figma, Power BI"
120,EMP100,09/24/2025,Team meeting,3,3,Medium,2,Happy,8,All-Hands Sync,Analytics,0,3,100%,MGR325,3,Yes,Ongoing,Ready for submission,"VSCode, GitHub"
121,EMP109,10/15/2025,Write report,"1,2","1,5",High,3,Happy,3,App QA Cycle,Sales,2,2,100%,MGR302,12,No,Ongoing,Code reviewed twice,"VSCode, GitHub"
122,EMP87,09/20/2025,Write report,"3,8","3,6",Low,5,Calm,5,All-Hands Sync,Sales,0,5,50%,MGR352,12,No,Ongoing,Customer issue,"Zoom, Slack"
123,EMP33,09/19/2025,Design dashboard,"3,4","3,4",Medium,7,Happy,1,Q4 Review Report,HR,0,5,50%,MGR341,13,No,Ongoing,Follow up required,Google Docs
124,EMP22,09/20/2025,Write report,1,"1,1",Low,2,Focused,1,All-Hands Sync,Sales,2,1,75%,MGR332,2,No,Delayed,Needed extra research,"Zoom, Slack"
125,EMP73,10/08/2025,Code feature,"3,1",3,Low,1,Happy,9,App QA Cycle,Sales,2,1,25%,MGR341,14,Yes,Delayed,Needed extra research,"VSCode, GitHub"
126,EMP105,10/12/2025,Bug fixing,3,"3,3",Low,7,Calm,5,CRM Update,Analytics,1,0,75%,MGR356,5,No,Delayed,Ready for submission,"VSCode, GitHub"
127,EMP77,09/17/2025,Design dashboard,"2,5","2,4",High,4,Happy,5,Q4 Review Report,HR,1,5,100%,MGR402,12,No,Done,Code reviewed twice,"Zoom, Slack"
128,EMP65,10/05/2025,Team meeting,"1,5","1,5",High,1,Focused,7,All-Hands Sync,HR,1,4,100%,MGR329,8,Yes,Delayed,Needed extra research,"Figma, Power BI"
129,EMP131,09/17/2025,Write proposal,"1,8","2,1",Low,6,Calm,6,App QA Cycle,Analytics,2,2,100%,MGR380,12,Yes,Ongoing,Ready for submission,Google Docs
130,EMP99,10/08/2025,Bug fixing,"1,9","1,7",Medium,4,Happy,9,CRM Update,IT,1,5,75%,MGR344,11,No,Delayed,Revision requested,"Word, Excel"
131,EMP97,09/26/2025,Code feature,"1,6","1,9",Medium,7,Focused,10,Client Dashboard,HR,1,3,75%,MGR354,10,No,Ongoing,Good team engagement,"Figma, Power BI"
132,EMP41,09/26/2025,Write proposal,"1,6","1,5",Low,6,Focused,6,Q4 Review Report,IT,2,2,25%,MGR350,4,Yes,Done,Blocked by dependencies,"JIRA, PyCharm"
133,EMP176,10/14/2025,Write report,"3,5","3,8",Medium,4,Focused,4,Client Dashboard,QA,1,3,25%,MGR337,12,Yes,Done,Follow up required,"VSCode, GitHub"
134,EMP65,10/12/2025,Design dashboard,"3,8","3,6",Low,4,Stressed,9,CRM Update,Analytics,1,1,75%,MGR381,14,No,Ongoing,Revision requested,"JIRA, PyCharm"
135,EMP160,10/01/2025,Code feature,"3,8","3,7",Low,7,Tired,8,All-Hands Sync,IT,2,2,100%,MGR424,12,Yes,Delayed,Customer issue,"Word, Excel"
136,EMP93,09/24/2025,Team meeting,"3,8","3,6",Medium,3,Focused,2,CRM Update,IT,0,3,25%,MGR354,3,No,Delayed,UI feedback pending,Google Docs
137,EMP139,09/30/2025,Write report,"1,6","1,6",High,7,Tired,7,New Project RFP,Analytics,2,3,75%,MGR301,7,No,Delayed,Follow up required,Google Docs
138,EMP159,10/12/2025,Write proposal,"3,9","4,4",High,4,Calm,5,App QA Cycle,QA,0,3,50%,MGR403,13,Yes,Delayed,Good team engagement,Google Docs
139,EMP156,09/17/2025,Bug fixing,"2,2","2,3",Low,5,Stressed,2,Client Dashboard,QA,0,3,25%,MGR312,6,No,Delayed,Blocked by dependencies,"JIRA, PyCharm"
140,EMP103,09/27/2025,Bug fixing,"2,6","2,7",Medium,7,Tired,5,Q4 Review Report,QA,0,5,100%,MGR313,7,Yes,Ongoing,Code reviewed twice,"Figma, Power BI"
141,EMP30,10/11/2025,Write report,"3,9","4,2",High,2,Stressed,10,CRM Update,IT,0,3,0%,MGR355,9,No,Delayed,Good team engagement,Google Docs
142,EMP175,10/17/2025,Design dashboard,"2,6","2,6",Low,1,Calm,5,Q4 Review Report,Sales,0,2,100%,MGR396,8,Yes,Done,Audit scheduled,"Figma, Power BI"
143,EMP180,09/24/2025,Write report,"1,9","2,4",Low,7,Happy,10,Q4 Review Report,Sales,0,2,100%,MGR409,12,No,Done,Revision requested,"Figma, Power BI"
144,EMP107,09/17/2025,Bug fixing,"1,2","1,1",Medium,1,Tired,6,Client Dashboard,QA,2,1,75%,MGR345,13,No,Ongoing,Revision requested,"JIRA, PyCharm"
145,EMP139,09/30/2025,Design dashboard,"2,3","2,3",Low,3,Happy,4,Q4 Review Report,HR,1,1,75%,MGR397,7,Yes,Delayed,UI feedback pending,"VSCode, GitHub"
146,EMP144,09/23/2025,Team meeting,"1,6","1,5",Medium,3,Happy,10,Client Dashboard,HR,2,0,100%,MGR348,3,Yes,Ongoing,Follow up required,"JIRA, PyCharm"
147,EMP162,10/11/2025,Code feature,"3,4","3,4",Low,4,Tired,8,Q4 Review Report,Analytics,1,1,75%,MGR362,6,No,Delayed,Revision requested,Google Docs
148,EMP108,09/30/2025,Design dashboard,"3,1","3,3",Low,3,Happy,8,All-Hands Sync,HR,1,1,0%,MGR349,7,Yes,Ongoing,Revision requested,"Figma, Power BI"
149,EMP67,09/23/2025,Code feature,"3,3","3,8",Low,4,Happy,10,New Project RFP,Sales,1,0,25%,MGR375,5,No,Done,Ready for submission,"Word, Excel"
150,EMP156,09/21/2025,Team meeting,"3,8","3,9",High,1,Focused,5,Client Dashboard,IT,2,3,0%,MGR303,11,No,Delayed,Customer issue,"JIRA, PyCharm"
151,EMP107,09/22/2025,Write report,"1,3","1,2",Medium,7,Tired,2,Q4 Review Report,QA,1,0,100%,MGR313,4,Yes,Ongoing,Ready for submission,"Word, Excel"
152,EMP83,09/20/2025,Write proposal,"3,6","3,9",Medium,5,Focused,10,CRM Update,Sales,1,3,75%,MGR376,15,No,Delayed,Audit scheduled,Google Docs
153,EMP35,10/06/2025,Design dashboard,2,"1,9",High,7,Calm,4,All-Hands Sync,Analytics,0,1,25%,MGR319,4,Yes,Delayed,Customer issue,"Figma, Power BI"
154,EMP172,10/02/2025,Team meeting,"1,9","2,4",High,2,Happy,5,Client Dashboard,QA,0,5,25%,MGR367,14,Yes,Delayed,Code reviewed twice,Google Docs
155,EMP77,10/07/2025,Code feature,"3,2",3,Medium,7,Calm,2,Q4 Review Report,IT,1,4,100%,MGR373,9,Yes,Delayed,Ready for submission,"Figma, Power BI"
156,EMP123,10/17/2025,Team meeting,"3,7","3,7",Low,5,Tired,8,Q4 Review Report,Sales,0,3,50%,MGR364,2,Yes,Done,Audit scheduled,Google Docs
157,EMP25,10/11/2025,Design dashboard,"2,1",2,Medium,5,Stressed,3,App QA Cycle,Sales,2,3,50%,MGR346,11,No,Ongoing,Customer issue,"Word, Excel"
158,EMP140,09/28/2025,Bug fixing,"3,1","3,1",Medium,3,Stressed,3,All-Hands Sync,QA,2,3,50%,MGR402,15,Yes,Delayed,Code reviewed twice,"Zoom, Slack"
159,EMP84,09/27/2025,Write report,"3,2","3,1",Medium,7,Focused,1,Client Dashboard,Sales,1,3,0%,MGR348,10,No,Ongoing,Customer issue,"Figma, Power BI"
160,EMP133,10/11/2025,Write report,"3,3","3,2",High,3,Focused,3,All-Hands Sync,QA,2,3,0%,MGR307,12,Yes,Ongoing,Good team engagement,"Zoom, Slack"
161,EMP161,09/17/2025,Write proposal,"1,1",1,Medium,1,Calm,2,App QA Cycle,Analytics,2,1,75%,MGR374,10,No,Delayed,Customer issue,"JIRA, PyCharm"
162,EMP82,10/01/2025,Write proposal,"2,3","2,4",High,4,Calm,10,New Project RFP,IT,0,2,75%,MGR387,14,No,Done,Ready for submission,"Figma, Power BI"
